,度中心性,入度中心性,出度中心性,接近中心性,中介中心性,特征向量中心性,PageRank
城市4,1.0,0.3333333333333333,1.0,0.28571428571428614,0.0,1.0,1.0
城市6,0.8333333333333333,0.6666666666666669,0.6666666666666666,0.6153846153846153,0.6296296296296297,0.34983239041886693,0.11844811131413704
城市7,0.8333333333333333,0.3333333333333333,0.8333333333333333,0.28571428571428614,0.5925925925925926,0.0,0.0
城市10,0.6666666666666669,0.3333333333333333,0.6666666666666666,0.28571428571428614,0.0,0.3540376490808636,0.21004419022147053
城市2,0.6666666666666669,1.0,0.3333333333333333,1.0,0.8518518518518517,0.7562746908271499,0.5416161715499593
城市1,0.5000000000000001,1.0,0.16666666666666666,1.0,1.0,0.5868466124846173,0.23156715752241822
城市5,0.5000000000000001,0.6666666666666669,0.3333333333333333,0.6153846153846153,0.2222222222222222,0.8372733938008295,0.40163332946146946
城市9,0.5000000000000001,1.0,0.16666666666666666,1.0,0.4074074074074074,0.7399350521561707,0.30460543487585695
城市8,0.16666666666666657,0.0,0.3333333333333333,0.0,0.0,0.4641729213303654,0.2045973436252871
城市3,0.0,0.3333333333333333,0.0,0.28571428571428614,0.1851851851851852,0.450951825952054,0.04836999140404716
